0,422,468,-1,104
1,447,464,1,104
2,422,468,-1,104
3,428,501,-1,110
4,444,497,1,110
5,428,501,-1,110
6,426,524,-1,90
7,444,523,1,90
8,426,524,-1,90
9,445,575,-1,124
10,457,565,1,124
11,445,575,-1,124
12,463,598,-1,133
13,478,588,1,133
14,463,598,-1,133
15,475,614,-1,126
16,488,603,1,126
17,475,614,-1,126
18,499,629,-1,150
19,507,620,1,150
20,499,629,-1,150
21,516,639,-1,163
22,521,625,1,163
23,516,639,-1,163
24,562,640,-1,-180
25,562,625,1,-180
26,562,640,-1,-180
27,610,640,-1,-167
28,606,632,1,-167
29,610,640,-1,-167
30,629,626,-1,-136
31,618,618,1,-136
32,629,626,-1,-136
33,651,606,-1,-135
34,635,590,1,-135
35,651,606,-1,-135
36,696,549,-1,-100
37,670,545,1,-100
38,696,549,-1,-100
39,702,524,-1,-117
40,680,521,1,-117
41,702,524,-1,-117
42,703,501,-1,-79
43,683,501,1,-79
44,703,501,-1,-79
45,682,461,-1,-47
46,662,474,1,-47
47,682,461,-1,-47
48,655,433,-1,-43
49,639,445,1,-43
50,655,433,-1,-43
51,590,383,-1,-35
52,581,409,1,-35
53,590,383,-1,-35
54,532,380,-1,11
55,539,407,1,11
56,532,380,-1,11
57,492,381,-1,2
58,496,398,1,2
59,492,381,-1,2
60,445,410,-1,6
61,458,422,1,6
62,445,410,-1,6
63,438,429,-1,94
64,453,429,1,94
65,438,429,-1,94
66,422,468,-1,-135
