<<<<<<< HEAD
Pit2Lander,101,170
Lander2Pit,101,101
Highway,101,101
navAROUNDPIT,101,182
navAROUNDPIT,182,475
Lander2Pit,101,101
Highway,101,101
Lander2Pit,1,43
Highway,43,43
Highway,43,43
Pit2Lander,43,83
Lander2Pit,83,102
Highway,102,102
Highway,102,102
=======
Lander2Pit,1604606262,1604606269
Highway,1604606269,1604606269
Lander2Pit,1604606462,1604606469
Highway,1604606469,1604606469
Lander2Pit,1604606860,1604606867
Highway,1604606867,1604606867
Lander2Pit,1604607360,1604607367
Highway,1604607367,1604607367
>>>>>>> 3dc8bfe06b4db08c5f7260cd56aafa3a2dbfc1e3
