Lander2Pit,0,565
Highway,565,659
Lander2Pit,0,553
Lander2Pit,0,591
Lander2Pit,0,466
Lander2Pit,0,560
Highway,560,657
Lander2Pit,0,506
Lander2Pit,0,555
Highway,555,649
Lander2Pit,0,553
Highway,553,652
Lander2Pit,0,560
Highway,560,660
Lander2Pit,0,560
Highway,560,633
Lander2Pit,0,643
Lander2Pit,0,553
Highway,553,651
Lander2Pit,0,601
Highway,601,697
Lander2Pit,0,569
Highway,569,669
Lander2Pit,0,553
Highway,553,652
Lander2Pit,0,551
Highway,551,625
Lander2Pit,0,564
Highway,564,644
Lander2Pit,0,559
