0,780,420,-1,,,,,,
1,780,410,1,,37.5366487582,,,,
2,780,420,-1,,37.5366487582,,,,
3,806,420,-1,,62.3698645181,,,,
4,806,414,1,,0,,,,
5,806,420,-1,,10,,,,
6,851,410,-1,,10,,,,
7,841,403,1,,26,,,,
8,851,410,-1,,6,,,,
9,864,386,-1,,6,,,,
10,854,382,1,,46.0977222865,,,,
11,864,386,-1,,12.2065556157,,,,
12,879,355,-1,,12.2065556157,,,,
13,871,356,1,,27.2946881279,,,,
14,879,355,-1,,10.7703296143,,,,
15,890,323,-1,,10.7703296143,,,,
16,881,320,1,,34.4383507154,,,,
17,890,323,-1,,8.0622577483,,,,
18,893,296,-1,,8.0622577483,,,,
19,882,297,1,,33.8378486314,,,,
20,893,296,-1,,9.4868329805,,,,
21,878,270,-1,,9.4868329805,,,,
22,869,273,1,,27.1661554144,,,,
23,878,270,-1,,11.0453610172,,,,
24,866,245,-1,,11.0453610172,,,,
25,858,249,1,,30.0166620396,,,,
26,866,245,-1,,9.4868329805,,,,
27,849,219,-1,,9.4868329805,,,,
28,843,233,1,,27.7308492477,,,,
29,849,219,-1,,8.94427191,,,,
30,809,215,-1,,8.94427191,,,,
31,809,223,1,,31.064449134,,,,
32,809,215,-1,,15.2315462117,,,,
33,778,215,-1,,15.2315462117,,,,
34,782,224,1,,40.1995024845,,,,
35,778,215,-1,,8,,,,
36,744,215,-1,,8,,,,
37,762,223,1,,31,,,,
38,744,215,-1,,9.8488578018,,,,
39,719,250,-1,,9.8488578018,,,,
40,729,263,1,,34,,,,
41,719,250,-1,,19.6977156036,,,,
42,700,314,-1,,19.6977156036,,,,
43,713,316,1,,43.0116263352,,,,
44,700,314,-1,,16.4012194669,,,,
45,700,354,-1,,16.4012194669,,,,
46,716,349,1,,66.7607669219,,,,
47,700,354,-1,,13.152946438,,,,
48,719,407,-1,,13.152946438,,,,
49,744,379,1,,40,,,,
50,719,407,-1,,16.7630546142,,393.9983906724,1231.2449708513,20.5207495142
51,780,420,-1,,16.7630546142,,20.5207495142,75.0133196902,
,,,,,1046.2573473785,3269.5542105577,54.492570176,,
,,,,,,,50.0666666667,,
,,,,,,,18.4166666667,68.4833333333,
