648,590.5
648.5,590.5
649,590.5
649.5,590.5
650,590.5
650.5,590.5
651,590.5
651.5,590.5
652,590.5
652.5,590.5
653,590.5
653.5,590.5
654,590.5
654.5,590.5
655,590.5
655.5,590.5
656,590.5
656.5,590.5
657,590.5
657.5,590.5
658,590.5
658.5,590.5
659,590.5
659.5,590.5
660,590.5
670,592.5
672,594.5
674,596.5
676,598.5
678,600.5
680,602.5
690,614.5
696,624.5
702,634.5
704,638.5
706,654.5
706,655
706,655.5
706,656
706,656.5
706,657
706,657.5
706,658
706,658.5
704,666.5
702,674.5
700,678.5
698,682.5
697.5,683
697,683.5
696.5,684
696,684.5
695.5,685
695,685.5
694.5,686
694,686.5
693.5,687
693,687.5
692.5,688
686.5,692
682.5,694
652.5,708
652,708
651.5,708
651,708
650.5,708
650,708
649.5,708
649,708
648.5,708
648,708
647.5,708
647,708
646.5,708
646,708
645.5,708
645,708
644.5,708
644,708
643.5,708
643,708
642.5,708
638.5,706
634.5,704
630.5,702
626.5,700
618.5,694
616.5,692
614.5,690
608.5,680
600.5,666
600.5,665.5
600.5,665
600.5,664.5
600.5,664
600.5,663.5
600.5,663
600.5,662.5
600.5,662
600.5,661.5
600.5,661
600.5,660.5
600.5,660
600.5,659.5
600.5,659
600.5,658.5
600.5,658
600.5,657.5
600.5,657
600.5,656.5
600.5,656
600.5,655.5
600.5,655
600.5,654.5
600.5,654
602.5,642
604.5,630
606.5,620
608.5,616
610.5,612
612.5,608
613,607.5
613.5,607
614,606.5
614.5,606
615,605.5
615.5,605
616,604.5
624,598.5
628,596.5
632,594.5
638,592.5
648,590.5
